cue,defn
GIS,"A computer system that stores
Globalization,Actions or processes that involve the entire world and result in making something worldwide in scope.
Global Positioning System (GPS),"A system that determines the precise position of something on Earth through a series of satellites
Grain,Seed of a cereal grass.
Gravity Model,A model that holds that the potential use of a service at a particular location is directly related to the number of people in a location and inversely related to the distance people must travel to reach the service.
Green Revolution,"Rapid diffusion of new agricultural technology
Greenbelt,"A ring of land maintained as parks
Greenhouse Effect,"Anticipated increase in Earth's temperature
Greenwich Mean Time,"The time in that time zone encompassing the prime meridian
Gross Domestic Product (GDP),The value of the total output of goods and services produced in a country in a given time period (normally one year).
Guest Workers,"Workers who migrate to the MDCs of Northern and Western Europe
Habit,A repetitive act performed by a particular individual.
Hearth,The region from which innovative ideas originate.
Hierarchical Diffusion,The spread of a feature or trend from one key person or node of authority or power to other persons or places.
Hierarchical Religion,A religion in which a central authority exercises a high degree of control.
Horticulture,"The growing of fruits
Hull,The outer covering of a seed.
Human Development Index (HDI),"Indicator of level of development for each country
Hydroelectric Power,Power generated from moving water.
Ideograms,"The system of writing used in China and other East Asian countries in which each symbol represents n idea or a concept rather than a specific sound
Immigration,Migration TO a new location.
Imperialism,Control of territory already occupied and organized by an indigenous society.
Inanimate Power,Power supplied by machines.
Industrial Revolution,A series of improvements in industrial technology that transformed the process of manufacturing goods.
Infant Mortality Rate (IMR),"The total number of deaths in a year among infants under one year old for every 1
Intensive Subsistence Agriculture,A form of subsistence agriculture in which farmers must expend a relatively large amount of effort to produce the maximum feasible yield from a parcel of land.
Internal Migration,Permanent movement within a particular country.
International Date Line,"(shortened) An arc that mainly follows 180 longitude. When crossed heading east (toward America)
International Migration,Permanent movement from one country to another.
Interregional Migration,Permanent movement from one region of a country to another.
Intervening Obstacle,An environmental or cultural feature of the landscape that hinders migration.
Intraregional Migration,Permanent movement within one region of a country.
Isogloss,A boundary that separates regions in which different language usages predominate.
,
Isolated Language,A language that is unrelated to any other languages and therefore not attached to any language family.
Labor-intensive Industry,An industry for which labor costs comprise a high percentage of total expenses.
Landlocked State,A state that doesn't have a direct outlet to the sea.
Land Ordinance of 1785,A law that divided much of the US into a system of townships to facilitate the sale of land to settlers.
Language,"A system of communication through the use of speech
Language Branch,"A collection of languages related through a common ancestor that existed several thousand years ago. Differences are not as extensive or old as with language families
Language Family,A collection of languages related to each other through a common ancestor long before recorded history.
Language Group,A collection of languages within a branch that share a common origin in the relatively recent past and display relatively few differences in grammar and vocabulary.
Latitude,The numbering system used to indicate the location of parallels drawn on the globe and measuring distance north and south of the equator.
Less Developed Country (LDC),"Also known as a developing country
Life Expectancy,"The average number of years an individual can be expected to live
Lingua Franca,A language mutually understood and commonly used in trade by people who have different native languages.
Literacy Rate,The percentage of a country's people who can read and write.
Literary Tradition,A language that is written as well as spoken.
Location,The position of anything on Earth's surface.
Longitude,The numbering system used to indicate the location of meridians drawn on a globe and measuring distance east and west of the prime meridian.
Map,"A two-dimensional
Maquiladora,"Factories built by US companies in Mexico near the US border
Market Area (or hinterland),"The area surrounding a central place
Medical Revolution,"Medical technology invented in Europe and North America that is diffused to the poorer countries of Latin America
Mental Map,"An internal representation of a portion of Earth's surface based on what an individual knows about a place
Meridian,An arc drawn on a map between the North and South poles.
Metropolitan Statistical Area (MSA),"In the US
Micropolitan Statistical Area,"An urbanized area of between 10
Microstate,A state that encompasses a very small land area.
Migration,Form of relocation diffusion involving permanent move to a new location.
Migration Transition,"Change in the migration pattern in a society that results from industrialization
Milkshed,The area surrounding a city from which milk is supplied.
Missionary,An individual who helps to diffuse a universalizing religion.
Mobility,All types of movement from one location to another.
Monotheism,The doctrine or belief of the existence of only one god.
More Developed Country (MDC),"Also known as a relatively developed country or a developed country
Multi-ethnic State,State that contains more than one ethnicity.
Multinational State,State that contains two or more ethnic groups with traditions of self-determination that agree to coexist peacefully by recognizing each other as distinct nationalities.
Multiple Nuclei Model,A model of the internal structure of cities in which social groups are arranged around a collection of nodes of activities.
Nationlism,Loyalty and devotion to a particular nationality.
Nationality,Identity with a group of people that share legal attachment and personal allegiance to a particular place as a result of being born there.
Nation-state,A state whose territory corresponds to that occupied by a particular ethnicity that has been transformed into a nationality.
Natural Increase Rate (NIR),"The percentage growth of a population in a year
Net Migration,The difference between the level of immigration and the level of emigration.
New International Division of Labor,"Transfer of some types of jobs
Nonbasic Industries,Industries that sell their products primarily to consumers in the community.
Nonferrous,Metals utilized to make products other than iron and steel.
Nonrenewable Energy,A source of energy that is a finite supply capable of being exhausted.
Official Language,The language adopted for use by the government for the conduct of business and publication of documents.
Overpopulation,The number of people living in an area exceeds the capacity of the environment to support life at a decent standard of living.
Ozone,"A gas that absorbs ultraviolet solar radiation
Paddy,"Malay word for wet rice
Pagan,A follower of a polytheistic religion in ancient times.
Pandemic,Disease that occurs over a wide geographic area and affects a high proportion of the population.
Parallel,A circle drawn around the globe parallel to the equator and at right angles to the meridians.
Passive Solar Energy  Systems,Solar energy system that collects energy without the use of mechanical devices.
Pastoral Nomadism,A form of subsistence agriculture based on herding domesticated animals.
Pasture,"Grass or other plants grown for feeding grazing animals
Pattern,The geometric or regular arrangement of something in a study area.
Perforated State,A state that completely surrounds another one.
Peripheral Model,A model of North America urban areas consisting of an inner city surrounded by large suburban residential and business areas tied together by a beltway or ring road.
Personal Services,Services that provide for the well-being and personal improvement of individual consumers.
Photochemical Smog,"An atmospheric condition formed through a combination of weather conditions and pollution
Photovoltaic Cell,"Solar energy cells
Physiological Density,The number of people per unit of area of arable land.
Pidgin Language,"A form of speech that adopts a simplified grammar and limited vocabulary of a lingua franca
Pilgrimage,A journey to a place considered scared for religious purposes.
Place,A specific point on Earth distinguished by a particular character.
Plantation,"A large farm in tropical and subtropical climates that specializes in the production of one or two crops for sale
Polder,Land created by the Dutch by draining water from an area.
Pollution,Addition of more waste than a resource can accommodate.
Polytheism,Belief in or worship of more than one god.
Popular Culture,"Culture found in a large
Population Pyramid,A bar graph representing the distribution of population by age and sex.
Possibilism,"The theory that the physical environment may set limits on human actions
Post-Fordist Production,"Adoption by companies of flexible work rules
Potential Reserve,The amount of energy in deposits not yet identified but thought to exist.
Preservation,"Maintenance of a resource in its present condition
Primary Sector,"The portion of the economy concerned with the direct extraction of materials from Earth's surface
Primate City,"The largest settlement in a country
Primate City Rule,"A pattern of settlements in a country
Prime Agricultural Land,The most productive farmland.
Prime Meridian,"The meridian
Principal Meridian,A north-south line designated in the Land Ordinance of 1785 to facilitate the surveying and numbering of townships in the US.
Producer Services,Services that primarily help people conduct business.
Productivity,The value of a particular product compared to the amount of labor needed to make it.
Projection,The system used to transfer locations from Earth's surface to a flat map.
Prorupted State,An otherwise compact state with a large projecting extension.
Proven Reserve,The amount of a resource remaining in discovered deposits.
Public Housing,"Housing owned by the government; in the US
Public Services,Services offered by the government to provide security and protection for citizens and businesses.
Pull Factors,Factors that induce people to move to a new location.
Push Factors,Factors that induce people to leave old residences.
Quota,"In reference to migration
Race,Identity with a group of people descended from a common ancestor.
Racism,Belief that race is the primary determinant of human traits and capacities and that racial differences produce an inherent superiority of a particular race.
Racist,A person who suscribes to the beliefs of racism.
Radioactive Waste,Particles from a nuclear reaction that emit radiation; contact with such particle may be harmful or lethal to people and must therefore be safely stored for thousands of years.
Ranching,A form of commercial agriculture in which livestock graze over an extensive area.
Range (of a service),The maximum distance people are willing to travel to use a service.
Rank-size Rule,"A pattern of settlements in a country
Reaper,A machine that cuts grain standing in the field.
Recycling,"The separation
Redlining,A process by which banks draw lines on a map and refuse to lend money to purchase or improve property within the boundaries.
Refugees,"People who are forced to migrate from their home country and cannot return for fear of persecution because of their race
Region,An area distinguished by a unique combination of trends or features.
Regional (or cultural landscape) Studies,An approach to geography that emphasizes the relationships among social and physical phenomena in a particular study area.
Relocation Diffusion,The spread of a feature or trend through bodily movement of people from one place to another.
Remote Sensing,The acquisition of data about Earth's surface from a satellite orbiting the planet or other long-distance methods.
Renewable Energy,A resource that has a theoretically unlimited supply and is not depleted when used by humans.
Resource,"A substance in the environment that is useful to people
Retail Services,Services that provide goods for sale to consumers.
Ridge Tillage,"System of planting crops on ridge tops
Right-to-work State,A US state that has passed a law preventing a union and company from negotiating a contract that requires workers to join a union as a condition of employment.
Rush (or peak) Hour,The four consecutive 15-minute periods in the morning and evening with the heaviest volumes of traffic.
Sanitary Landfill,"A place to deposit solid waste
Sawah,A flooded field for growing rice.
Scale,"Generally
Secondary Sector,"The portion of the economy concerned with manufacturing useful products through processing
Sect,A relatively small group that has broken away from an established denomination.
Section,A square normally 1 mile on a side. The Land Ordinance of 1785 divided townships in the US into 36 sections.
Sector Model,"A model of the internal structure of cities in which social groups are arranged around a series of sectors
Seed Agriculture,"Reproduction of plants through annual introduction of seeds
Self-determination,Concept that ethnicities have the right to govern themselves.
Service,Any activity that fulfills a human want or need and returns money to those who provide it.
Settlement,A permanent collection of buildings and inhabitants.
Sex Ratio,The number of males per 100 females in the population.
Sharecropper,A person who works fields rented from a landowner and pays the rent and repays loans by turning over to the landowner a share of the crops.
Shifting Cultivation,A form of subsistence agriculture in which people shift activity from one field to another; each field is used for crops for a relatively few years and left fallow for a relatively long period.
Site,The physical character of a place.
Site Factors,"Location factors related to the costs of factors of production inside the plant
Situation,The location of a place relative to other places.
Situation Factors,Location factors related to the transportation of materials into and from a factory.
Slash-and-burn Agriculture,"Another name for shifting cultivation
Solstice,Time when the Sun is farthest from the equator.
Sovereignty,Ability of a state to govern its territory free from control of its internal affairs by other states.
Space,The physical gap or interval between two objects.
Space-time Compression,"The reduction in the time it takes to diffuse something to a distant place
Sprawl,Development of new housing sites at relatively low density  and at locations that are not contiguous to the existing built-up area.
Spring Wheat,Wheat planted in the spring and harvested in the late summer.
Squatter Settlement,An area within a city in a less developed country in which people illegally establish residences on land they do not own or rent and erect homemade structures.
Standard Language,"The form of a language used for official government business
State,An area organized into a political unit and ruled by an established government with control over its internal and foreign affairs.
Stimulus Diffusion,"The spread of an underlying principle
Structural Adjustment Program,"Economic policies imposed on less developed countries by international agencies to create conditions encouraging trade
Subsistence Agriculture,Agriculture designed primarily to provide food for direct consumption by the farmer and the farmer's family.
Sustainable Agriculture,"Farming methods that preserve long-term productivity of land and minimize pollution
Sustainable Development,The level of development that can be maintained in a country without depleting resources to the extent that future generations will be unable to achieve a comparable level of development.
Swidden,A patch of land cleared for planting through slashing and burning.
Taboo,A restriction on behavior imposed by social custom.
Tertiary Sector,"The portion of the economy concerned with transportation
Textile,"A fabric made by weaving
Thresh,To beat out grain from stalks by trampling it.
Threshold,The minimum number of people needed to support the service.
Toponym,The name given to a portion of Earth's surface.
Total Fertility Rate (TFR),The average number of children a women will have throughout her childbearing years.
Township,A square normally 6 miles on a side. The Land Ordinance of 1785 divided much of the US into a series of townships.
Trading Bloc,A group of neighboring countries that promote trade with each other and erect barriers to limit trade with other blocs.
Transhumance,The seasonal migration of livestock between mountains and lowland pastures.
Transnational Corporation,"A company that conducts research
Transportation and Information Services,Services that diffuse and distribute services.
Truck Farming,"Commercial gardening and fruit farming
Underclass,A group in society prevented from participating in the material benefits of a more developed society because of a variety of social and economic characteristics.
Undocumented Immigrants,People who enter a country without proper documents.
Uneven Development,The increasing gap in economic conditions between core and peripheral regions as a result of the globalization of the economy.
Unitary State,An internal organization of a state that places most power in the hands of central government officials.
Universalizing Religion,"A religion that attempts to appeal to all people
Urban Renewal,"Program in which cities identify blighted inner-city neighborhoods
Urbanization,An increase in the percentage and in the number of people living in urban settlements.
Urbanized Area,"In the US
Value Added,The gross value of the product minus the costs of raw materials and energy.
Vegetative Planting,Reproduction of plants by direct cloning from existing plants.
Vernacular Region (or perceptual region),An area that people believe to exist as part of their cultural identity.
Voluntary Migration,Permanent movement undertaken by choice.
Vulgar Latin,"A form of Latin used in daily conversation by ancient Romans
Wet Rice,"Rice planted on dryland in a nursery
Winnow,To remove chaff by allowing it to be blown away by the wind.
Winter Wheat,Wheat planted in the fall and harvested in the early summer.
Zero Population Growth (ZPG),A decline of the total fertility rate to the point where the natural increase rate equals zero.
Zoning Ordinance,A law that limits the permitted uses of land and maximum density of development in a community.
