cue,defn
Anatomy of the Brain,1. Reticular Activating System (RAS)2. Thalamus3. Hypothalamus4. Corpus Callosum5. Medulla6. Pons7. Cerebellum8. Cerebrum
Corpus Callosum,connects and communicates between the right and left hemispheres of the brain
Medulla,"regulates heart rate
Pons,"breathing
Cerebellum,balance and control
Cerebrum,center of thinking and executive control; tasks such as decision making and impulse control
epilepsy,sudden electrical impulses in the brain that often lead to uncontrolled seizures; often doctors will cut the corpus callosum to treat severe cases
gland,"an organ that secretes one or more chemical substances such as hormones
hormone,regulates bodily functions
Types of Glands,1. Hypothalamus2. Pituitary Gland3. Pineal Gland4. Thyroid Gland5. Adrenal Gland6. Sex Glands
Hypothalamus,the master gland that stimulates other glands to work
Pituitary Gland,"involves in growth of muscles
Pineal Gland,"secretes melatonin
Thyroid Gland,"secretes thyroxine
metabolism,the rate the body uses oxygen and produces energy
thyroxine,substance secreted by the thyroid gland in order to help regulate metabolism
melatonin,substance secreted by pineal gland in order to help regulate sleeping and waking cycles
Adrenal Gland,"secretes cortical steroids like adrenaline
cortical steroids,"secreted by adrenal gland; increase stress resistance
Sex Glands,a. Testesb. Ovaries
Testes,"mainly produce testosterone
Ovaries,"mainly produce estrogen
progesterone,sex hormone that stimulates growth of female reproductive organs
Sensation,the stimulation of any of your senses and the communication of these messages to your central nervous system
Perception,organization and interpretation of your sensations; how you make sense of your senses; it is not automatic and usually takes conscious effort
Absolute Threshold,"similar to activation energy
activation energy,"the smallest amount of a stimulus that it takes for you to recognize it;also known as ""absolute threshold"""
Difference Threshold,"the smallest difference between two of the same sensations to be able to tell them apart (e.g. hot vs. really hot); this smallest difference is also known as the ""just noticeable difference"""
just noticeable difference,"the smallest difference between two of the same sensations to be able to tell them apart (e.g. hot vs. really hot); this smallest difference is also known as the ""difference threshold"""
Psychophysicists,researchers who study sensation and perception and how it all works
Signal Detection Theory,holds that the detection of a stimulus depends on both the intensity of the stimulus and the physical and psychological state of the individual
Sensory Adaptation,"when we become used to or less sensitive to a low level of a certain stimulus over time (e.g.
Types of Sensory Adaptation,1. sensitization2. desensitization
sensitization,the process of becoming more sensitive to a stimulus
desensitization,the process of becoming less sensitive to a stimulus
Your Five Senses,A. VisionB. HearingC. SmellD. TasteE. Touch and Pressure
major parts of the eye,1. cornea2. iris3. pupil4. lens5. retina6. optic nerve
cornea,outer surface of the eyeball
iris,colored part that controls how much light enters your eye (dilation)
dilation,how big or small your pupil is depending on how much light the iris allows to be taken in
pupil,the black center of the eye that allows light in
lens,the part of the eye that helps to focus the light that enters
retina,part of the eye where the lens focuses light/images
optic nerve,the part of the eye that conveys images to the brain
some common problems with vision,1. nearsightedness2. farsightedness3. presbyopia4. colorblindness
nearsightedness,unable to see far away
farsightedness,unable to see close up
presbyopia,the loss of the eye's ability to change focus to see near objects; happens to everyone as they age over time
colorblindness,inability to see certain color; found mostly in males
phenomena found by Gestalt Psychologists,1. proximity2. similarity3. continuity4. closure
proximity,tendency to group things together that are close together
similarity,tendency to group things together that look alike
continuity,tendency to see a series of pints or lines as having unity
closure,tendency to fill in the gaps between dashed lines
types of visual illusions,1. autokinetic effect2. stroboscopic motion3. phi phenomenon4. Hering-Helmholtz Illusion6. Muller-Lyer Illusion
autokinetic effect,tendency to see a stationary point of light in a dark room as moving
stroboscopic motion,perception of motion when a series of stationary/fixed images are shown rapidly one after another (e.g. movies)
phi phenomenon,perception of motions when a series of lights in a row are switched on and off (e.g. fireworks on a scoreboard)
Hering-Helmholtz Illusion,illusion which asks the question:are the horizontal lines straight or curved?image:http://www.rci.rutgers.edu/~cfs/305_html/Gestalt/Her_Illusion.html
Muller-Lyer Illusion,illusion which asks the question:are the vertical lines equal in length?image:http://www.rit.edu/cla/gssp400/muller/muller.html
types of illusions of depth,1. interposition2. shadowing3. motion parallax
interposition,placing one object in front of another; partially covered objects are seen as farther away
shadowing,highlights and shading of an object make it look 3D
motion parallax,tendency to see objects that move at our same speed as being farther away
types of illusions of constancy,1. size constancy2. color constancy3. brightness constancy
size constancy,the shape of images stay the same even though their actual shape/size is really different
color constancy,the color of images appears to stay the same even though lighting has changed its actual appearance
major parts of the ear,1. eardrum2. cochlea3. auditory nerve4. semicircular canals
eardrum,thin membrane that vibrates when sound is heard; vibrations travel through the middle ear and end up in the inner ear
cochlea,snail shaped bone in the ear where hair cells receive stimulation and create an impulse
auditory nerve,part of the ear triggered by the hair cells: transmits the impulse to the brain for processing
semicircular canals,"made up of three semicircular
pitch,the highness and lowness of sounds
decibel,a unit used to measure the intensity of a sound or the power level of an electrical signal by comparing it with a given level on a logarithmic scale
common problems with hearing,1. conductive hearing loss/deafness2. sensorineural hearing loss/deafness3. mixed hearing loss/deafness
conductive deafness,deafness due to loss of sound through the middle ear
sensorineural deafness,deafness from the loss of hair cells or the auditory nerve
Smell,"adds to the flavor of foods; makes it more robust; the flavor ""comes alive"""
major parts of the sense of smell,1. olfactory membrane2. olfactory nerve
olfactory membrane,contains the neurons for smell
olfactory nerve,transmits the odor to the brain for processing; one of our strongest senses that is tied to memory
parts of the mouth used for taste,1. Palate2. Throat3. Taste buds for bitter tastes4. Taste buds for sour things5. Taste buds for sweet things
Palate,roof of the mouth
Taste buds for bitter tastes,on the back of the tongue
Taste buds for sour things,on the sides of the tongue
Taste buds for sweet things,on the tip of the tongue
the dermis,"the middle layer of the skin-houses receptors for touch
Plato,apparently not important enough to be in my textbook
insight,a sudden realization of how things are related or connected that help one to solve a problem; an epiphany
Thalamus,located near the center of the brain; consists of two joined egg- or football-shaped structures; serves as a relay station for sensory stimulation; nerve fibers from the sensory systems enter from below; the information carried by them is then transmitted to the cerebral cortex by way of fibers that exit from above.
an example of how the thalamus works,relays sensory input from the eyes to the visual areas of the cerebral cortex; also involved in controlling sleep and attention in coordination with other brain structures include the RAS (reticular activating system)
reticular activating system (RAS),"begins in the hindbrain (lower part)
Hypothalamus,"lies beneath the thalamus and above the pituitary gland; it weighs only 4 grams
mixed hearing loss/deafness,"Sometimes a conductive hearing loss occurs in combination with a sensorineural hearing loss (SNHL). In other words
mixed hearing loss/deafness,"Sometimes a conductive hearing loss occurs in combination with a sensorineural hearing loss (SNHL). In other words
