cue,defn
47. Frame of government,1701 - The Charter of Liberties set up the government for the Pennsylvania colony. It established representative government and allowed counties to form their own colonies.
"48. New York: Dutch, 1664 English"
49. Patron system,Patronships were offered to individuals who managed to build a settlement of at least 50 people within 4 years. Few people were able to accomplish this.
50. Peter Stuyvesant,"The governor of the Dutch colony of New Amsterdam
51. Five Nations,"The federation of tribes occupying northern New York: the Mohawk
52. Crops in the Middle Colonies,"The middle colonies produced staple crops
53. New York and Philadelphia as urban centers,"New York became an important urban center due to its harbor and rivers
54. Leislers Rebellion,"1689 - When King James II was dethroned and replaced by King William of the Netherlands
55. Benjamin Franklin,"Printer
56. John Bartram (1699-1777),Americas first botanist; traveled through the frontier collecting specimens.
"57. Pennsylvania, Maryland
58. Great Awakening (1739-1744),"Puritanism had declined by the 1730s
"59. Jonathan Edwards, Sinners in the Hands of an Angry God
60. George Whitefield,"Credited with starting the Great Awakening
61. William Tennant,A strong Presbyterian minister and leader during the Great Awakening. Founded a college for the training of Presbyterian ministers in 1726.
62. Gilbert Tennant,William Tennants son. Developed a theology of revivalism.
"63. Old Lights, New Lights"
64. Lord Baltimore,Founded the colony of Maryland and offered religious freedom to all Christian colonists. He did so because he knew that members of his own religion (Catholicism) would be a minority in the colony.
65. Maryland Act of Toleration (Act of Religious Toleration),1649 - Ordered by Lord Baltimore after a Protestant was made governor of Maryland at the demand of the colony's large Protestant population. The act guaranteed religious freedom to all Christians.
66. Deism,"The religion of the Enlightenment (1700s). Followers believed that God existed and had created the world
67. Huguenots,"French Protestants. The Edict of Nantes (1598) freed them from persecution in France
68. SPG - Society for the Propagation of the Gospel (in Foreign Parts),A group which worked to spread Christianity to other parts of the world through missionaries in the late 1800s.
"69. Mercantilism: features, rationale
"70. Navigation Acts of 1650, 1660
71. Admiralty courts,British courts originally established to try cases involving smuggling or violations of the Navigation Acts which the British government sometimes used to try American criminals in the colonies. Trials in Admiralty Courts were heard by judges without a jury.
72. Triangular Trade,"The backbone of New Englands economy during the colonial period. Ships from New England sailed first to Africa
73. Merchants / Markets,"A market is the area or group of people which needs a product. Colonial merchants took goods produced in the colonies to areas of the world that needed those goods. Also
74. Consignment system,"One company sells another companys products
"75. Molasses Act, 1733"
"76. Woolens Act, 1699"
"77. Hat Act, 1732"
"78. Iron Act, 1750"
"79. Currency Act, 1751"
"80. Currency Act, 1764"
81. Salem witch trials,"Several accusations of witchcraft led to sensational trials in Salem
"82. Primogeniture, entail"
83. Quitrents,"Nominal taxes collected by the crown in crown colonies
84. Indentured servants,"People who could not afford passage to the colonies could become indentured servants. Another person would pay their passage
"85. Poor Richards Almanack, first published 1732"
86. Phillis Wheatly (1754-1784),"An African domestic in the colonies
87. Ann Bradstreet (1612-1692),"A Puritan and the first colonial poet to be published. The main subjects of her poetry were family
"88. Magna Carta, 1215"
"89. Petition of Right, 1628"
"90. Habeas Corpus Act, 1679"
"91. Bill of Rights, 1689"
92. Board of Trade (of the Privy Council),Advisors to the king who regulated British trade during the 1600s and 1700s.
93. Robert Walpole,Prime minister of Great Britain in the first half of the 1700s. His position towards the colonies was salutary neglect.
"94. ""Salutary neglect""",Prime Minister Robert Walpoles policy in dealing with the American colonies. He was primarily concerned with British affairs and believed that unrestricted trade in the colonies would be more profitable for England than would taxation of the colonies.
95. The Enlightenment,"A philosophical movement which started in Europe in the 1700's and spread to the colonies. It emphasized reason and the scientific method. Writers of the enlightenment tended to focus on government
"96. Theories of representative government in legislatures: virtual representation, actual representation"
97. Rise of the Lower House,"Most of the colonial legislatures had two houses: a lower house elected by the people of the colony and an upper house appointed by the governor. Over time
"98. Proprietary, charter
99. Colonial agents,These were representatives sent to England by the colonies during the 1600s and 1700s. They served as a link between England and the colonies.
100. Town meetings,"purely democratic form of government common in the colonies
101. John Peter Zenger trial,"Zenger published articles critical of British governor William Cosby. He was taken to trial
"102. Glorious Revolution, 1688"
"103. John Locke (1632-1704), his theories"
104. A democratic society or not?,"The Founding Fathers were not sure that democracy was the right form of government for America. They feared anarchy and the rise of factions whose policies would not represent the true will of the people. Hence
105. Land claims and squabbles in North America,"The British controlled the colonies on the east coast
106. Differences between French and British colonization,"The British settled mainly along the coast
"107. Queen Annes War, 1702-1713"
"108. Peace of Utrecht, 1713"
109. War of Jenkins Ear (1739-1743),"Land squabble between Britain and Spain over Georgia and trading rights. Battles took place in the Caribbean and on the Florida/Georgia border. The name comes from a British captain named Jenkin
110. King Georges War (1744-1748),"Land squabble between France and Britain. France tried to retake Nova Scotia (which it had lost to Britain in Queen Annes War). The war ended with a treaty restoring the status quo
111. French and Indian War (1756-1763),"Part of the Seven Years War in Europe. Britain and France fought for control of the Ohio Valley and Canada. The Algonquins
112. Francis Parkman (1823-1893),An historian who wrote about the struggle between France and Britain for North America.
"113. Albany Plan of Union, Benjamin Franklin"
114. General Braddock,"British commander in the French and Indian War. He was killed and his army defeated in a battle at the intersection of the Ohio
115. William Pitt (1708-1778),"British secretary of state during the French and Indian War. He brought the British/colonial army under tight British control and started drafting colonists
"116. Fort Pitt, Fort Duquesne"
"117. Wolfe, Montcalm
"118. Treaty of Paris, 1763"
119. Pontiacs Rebellion,"1763 - An Indian uprising after the French and Indian War
120. Proclamation of 1763,"A proclamation from the British government which forbade British colonists from settling west of the Appalacian Mountains
121. Writs of Assistance,"Search warrants issued by the British government. They allowed officials to search houses and ships for smuggled goods
122. James Otis,A colonial lawyer who defended (usually for free) colonial merchants who were accused of smuggling. Argued against the writs of assistance and the Stamp Act.
123. Paxton Boys,A mob of Pennsylvania frontiersmen led by the Paxtons who massacred a group of non-hostile Indians.
124. Navigation Acts,"A series of British regulations which taxed goods imported by the colonies from places other than Britain
125. Grenvilles Program,"As Prime Minister
"126. Sugar Act, 1764"
"127. Molasses Act, 1733"
"128. Currency Act, 1764"
129. Vice-admiralty courts,"In these courts
130. Non-importation,A movement under which the colonies agreed to stop importing goods from Britain in order to protest the Stamp Act.
"131. Virtual, actual representation"
132. Stamp Act,"March 22
133. Virginia Resolves,"May 30
"134. Stamp Act Congress, 1765"
135. Patrick Henry (1736-1799),"An American orator and member of the Virginia House of Burgesses who gave speeches against the British government and its policies urging the colonies to fight for independence. In connection with a petition to declare a ""state of defense"" in virginia in 1775
136. Sons of Liberty,"A radical political organization for colonial independence which formed in 1765 after the passage of the Stamp Act. They incited riots and burned the customs houses where the stamped British paper was kept. After the repeal of the Stamp Act
137. Internal taxes,"Taxes which arose out of activities that occurred ""internally"" within the colonies. The Stamp Act was considered an internal tax
138. External taxes,"Taxes arose out of activities that originated outside of the colonies
"139. Declatory Act, 1766"
140. Quartering Act,"March 24
"141. Townshend Acts, reaction"
142. John Dickinson,"Drafted a declaration of colonial rights and grievances
143. Massachusetts Circular Letter,"A letter written in Boston and circulated through the colonies in February
144. Sam Adams (1722-1803),"A Massachusetts politician who was a radical fighter for colonial independence. Helped organize the Sons of Liberty and the Non-Importation Commission
145. The Association,A military organization formed by Benjamin Franklin which formed fighting units in Pennsylvania and erected two batteries on the Delaware River.
"146. Repeal of the Townshend Acts, except tax on tea"
"147. Boston Massacre, 1770"
148. Crispus Attucks (1723-1770),"He was one of the colonials involved in the Boston Massacre
149. John Adams,"A Massachusetts attorney and politician who was a strong believer in colonial independence. He argued against the Stamp Act and was involved in various patriot groups. As a delegate from Massachusetts
150. Carolina Regulators,"Western frontiersmen who in 1768 rebelled in protest against the high taxes imposed by the Eastern colonial government of North Carolina
151. Battle of the Alamance,May 1771 - An army recruited by the North Carolina government put down the rebellion of the Carolina Regulators at Alamance Creek. The leaders of the Regulators were executed.
152. Gaspée Incident,"In June
153. Governor Thomas Hutchinson of Massachusetts,"A Boston-born merchant who served as the Royal Governor of Massachusetts from 1771 to 1774. Even before becoming Governor
154. Committees of Correspondence,"These started as groups of private citizens in Massachusetts
155. Lord North,"Prime Minister of England from 1770 to 1782. Although he repealed the Townshend Acts
"156. Tea Act, East India Company"
"157. Boston Tea Party, 1773"
158. Coercive Acts / Intolerable Acts / Repressive Acts,"All of these names refer to the same acts
159. Boston Port Act,"This was one of the Coercive Acts
160. Massachusetts Government Act,"This was another of the Coercive Acts
"161. Quebec Act, First Continental Congress
162. Suffolk Resolves,"Agreed to by delegates from Suffolk county
163. Galloway Plan,A plan proposed at the First Continental Congress which would have created an American parliament appointed by colonial legislatures. It was defeated by one vote.
164. Continental Association,"Created by the First Continental Congress
"165. Lexington and Concord, April 19
"166. Paul Revere, William Dawes"
167. Second Continental Congress,"It met in 1776 and drafted and signed the Declaration of Independence
168. George Washington,"He had led troops (rather unsuccessfully) during the French and Indian War
169. Battle of Bunker Hill (Breeds Hill),"At the beginning of the Revolutionary War
170. Olive Branch Petition,"On July 8
171. Thomas Paine: Common Sense,"A British citizen
172. Natural Rights Philosophy,"Proposed by John Locke
"173. John Locke, Second Treatise of Government"
174. George III,"Became King of England in 1760
"175. Richard Henry Lees Resolution of June 7, 1776"
176. Thomas Jefferson,He was a delegate from Virginia at the Second Continental Congress and wrote the Declaration of Independence. He later served as the third President of the United States.
"177. Benjamin Franklin, Roger Sherman
"178. July 4, 1776 and the Declaration of Independence"
179. Somerset Case (in Great Britain),"A slave named James Somerset was purchased in Virginia
"180. Quock Walker case, Massachusetts"
181. Abigail Adams,"Wife of John Adams. During the Revolutionary War
182. Mercy Otis Warren,A 19th century American historian who wrote a 3-volume history of the American Revolution.
183. Edmund Burke (1729-1797),"A conservative British politician who was generally sympathetic to the colonists' greivances
184. Lafayette,Marquis de Lafayette was a French major general who aided the colonies during the Revolutionary War. He and Baron von Steuben (a Prussian general) were the two major foreign military experts who helped train the colonial armies.
185. George Rogers Clark (1752-1818),"Frontiersman who helped remove the Indians from the Illinois territory in May
186. Benedict Arnold,"He had been a Colonel in the Connecticut militia at the outbreak of the Revolution and soon became a General in the Continental Army. He won key victories for the colonies in the battles in upstate New York in 1777
187. Robert Morris (1734-1806),"A delegate to the Second Continental Congress. He agreed that Britain had treated the colonies unfairly
188. John Paul Jones (1747-1792),"Revolutionary War naval officer. His ship
189. Bonhomme Richard and the Serapis,"The Bonhomme Richard was John Paul Jones ship
190. Conway Cabal,The name given to the New England delegates in the Continental Congress who tried to wrest control of the Continental Army and the Revolution away from George Washington. Named after Major General Thomas Conway.
"191. French Alliance of 1778, reasons for it"
"192. Major battles: Saratoga, Valley Forge"
"193. Yorktown, Lord Cornwallis"
194. League of Armed Neutrality,Catherine I of Russia declared that the Russian navy would defend neutral trade throughout the world. They were not successful.
"195. Treaty of Paris, 1783"
"196. Benjamin Franklin, John Adams
197. French and British Intrigue over U.S. boundaries,"The Treaty of Paris set the colonial boundaries as being the southern border of Canada
198. Social impact of the war,"The Revolutionary War saw the emergence of the first anti-slavery groups
"199. Disestablishment, Virginia Statute of Religious Freedom"
200. New state constitutions (Massachusetts adopted by popular vote),"The first set of constitutions drafted by the individual states placed most of the governments power in the legislature
201. Newburgh Conspiracy,"The officers of the Continental Army had long gone without pay
"202. Articles of Confederation: powers, weaknesses
203. Constitution,The document which established the present federal government of the United States and outlined its powers. It can be changed through amendments.
204. Constitution - Preamble,"We the people of the United States
205. Constitution - Legislature,"One of the three branches of government
206. Constitution - Logrolling,This refers to the practice of representatives or senators exchanging votes for each others' pet bills.
207. Constitution - Riders,"Separate
208. Constitution - Quorum,"The minimum number of members of Congress who must be present in order to hold a session. In Congress
209. Constitution - Seniority,Part of the committee system. A member of Congress in a committee moves up in rank in that committee as long as he is reelected.
210. Constitution - Committee system,"After a bill is introduced in Congress
211. Constitution - Majority leader,"The person elected
212. Constitution - Majority whip,The person who tells members of the majority party in Congress how they should vote.
213. Constitution - Minority leader,"The person elected
214. Constitution - Minority whip,The person who tells members of the minority party in Congress how they should vote.
215. Constitution - Gerrymander,"The practice of drawing the boundary lines of Congressional voting districts to give a particular political party an advantage when electing representatives. First used during Eldbridge Gerrys second term as governor of Massachusetts
216. Constitution - Bills become law,"In order for a bill to become a law
217. Constitution - House of Representatives,"One of the two parts of Congress
218. Constitution - Senate,"The other of the two parts of Congress
219. Constitution - Executive branch,"One of the three branches of government
220. Constitution - Judiciary branch,"One of the three branches of government
221. Constitution - Interstate relations,No state is allowed to form a compact with another state or with a foreign power without the consent of Congress.
222. Constitution - The amendment process,"An amendment to the Constitution may be proposed if 2/3 of the members of Congress or 2/3 of state legislatures vote for it. The amendment may then be added to the Constitution by a 3/4 vote of state legislatures
223. Constitution - Supremacy clause,"Article VI of the Constitution
224. Constitution - Ratification,The Constitution had to be ratified (approved) by at least 9 of the 13 original states in order to be put into effect.
225. Constitution - Checks and balances,"Each of the three branches of government ""checks"" (ie
226. Constitution - Separation of power,"The powers of the government are divided between three branches: the executive
"227. Maryland, cession of western land claims"
228. New state constitutions during the Revolutionary War and after,"The first set of constitutions drafted by the individual states placed most of the governments power in the legislature
"229. Pennsylvania militia routs Congress, 1783"
230. Northwest posts,British fur-trading posts in the Northwest Territory. Their presence in the U.S. led to continued British-American conflicts.
231. Land Ordinance of 1785,A major success of the Articles of Confederation. Provided for the orderly surveying and distribution of land belonging to the U.S.
"232. Northwest Ordinance, 1787"
"233. Proposed Jay-Gardoqui Treaty, 1785"
234. Shays Rebellion,"Occurred in the winter of 1786-7 under the Articles of Confederation. Poor
"235. Annapolis Convention, 1786"
236. 1780's Depression,"Caused by a post-war decrease in production and increase in unemployment
237. Noah Webster (1758-1843),"Wrote some of the first dictionaries and spellers in the U.S. His books
238. Philadelphia Convention for the Constitution (Constitutional Convention),"Beginning on May 25
"239. Montesquieu, The Spirit of Laws"
"240. John Locke, Second Treatise of Government"
241. Hobbes (1588-1679),"English philosopher who believed that people are motivated mainly by greed and fear
"242. James Madison, ""Father of the Constitution"""
243. Great Compromise,"At the Constitutional Convention
"244. Virginia Plan, New Jersey Plan
245. North-South Compromises,"The North was given full federal protection of trade and commerce. The South was given permanent relief from export taxes and a guarantee that the importation of slaves would not be halted for at least 20 years
"246. Slavery and the Constitution: slave trade, 3/5 Clause"
247. Procedures for amendments,An amendment to the Constitution may be proposed if 2/3 of Congress or 2/3 of state legislatures vote for it. The amendment may then be added to the Constitution by a 3/4 vote of state legislatures or state conventions.
"248. Beard thesis, his critics"
"249. Fiske, The Critical Period of American History"
250. Antifederalists,"They opposed the ratification of the Constitution because it gave more power to the federal government and less to the states
251. Supporters of the Constitution,"Known as Federalists
252. Opponents of the Constitution,"Known as Antifederalists
253. Patrick Henry (1736-1799),"One of the main opponents of the Constitution
254. Sam Adams,"He was opposed to the Constitution until the Bill of Rights was added
"255. George Mason, Bill of Rights"
"256. The ratification fights, especially in Massachusetts
"257. The Federalist Papers, Jay
"258. ""The Federalist, # 10"""
"259. Bill of Rights adopted, 1791"
260. President George Washington,"He established many of the presidential traditions
261. Vice-president John Adams,"A Federalist
"262. Judiciary Act, 1789"
263. Sec. of the Treasury Hamilton,"A leading Federalist
264. Sec. of State Jefferson,"A leading Democratic-Republican
265. Sec. of War Knox,"A Revolutionary War hero
266. Attorney General Randolph,"Edmund Randolph had been General Washington's aide-de-camp at the outbreak of the Revolution
"267. Hamiltons Program: ideas, proposals
268. Tariff of 1789,"Designed to raise revenue for the federal government
269. Bank of the U.S.,"Part of Hamiltons Plan
"270. National debt, state debt
271. Excise taxes,Taxes placed on manufactured products. The excise tax on whiskey helped raise revenue for Hamiltons program.
272. Report on Manufactures,"A document submitted to Congress
"273. Implied powers, elastic clause
"274. Loose, strict interpretation of the Constitution"
"275. Location of the capitol: Washington D.C., circumstances surrounding it"
276. Residence Act,Set the length of time which immigrants must live in the U.S. in order to become legal citizens.
"277. Major LEnfant, Benjamin Banneker"
278. Whiskey Rebellion,"In 1794
279. Washingtons Farewell Address,He warned against the dangers of political parties and foreign alliances.
"280. Election of 1796: President Adams, Vice-president Jefferson"
"281. New states: Vermont, Kentucky
282. Federalists and Democratic-Republicans,"The first two political parties. Many of the Democratic-Republicans had earlier been members of the Antifederalists
283. Federalists / Democratic-Republicans: Party leaders and supporters,The leading Federalists were Alexander Hamilton and John Adams. The leading Democratic- Republicans were Thomas Jefferson and James Madison.
284. Federalists / Democratic-Republicans: Programs,"Federalist programs were the National Bank and taxes to support the growth of industry. The Democratic-Republicans opposed these programs
285. Federalists / Democratic-Republicans: Philosophies,"Federalists believed in a strong central government
286. Federalists / Democratic-Republicans: Foreign proclivities,"Federalists supported Britain
287. Society of the Cincinnati,"A secret society formed by officers of the Continental Army. The group was named for George Washington
288. Democratic societies,"Clubs which met for discussion
289. Alien and Sedition Acts,"These consist of four laws passed by the Federalist Congress and signed by President Adams in 1798: the Naturalization Act
290. Virginia and Kentucky Resolutions,"Written anonymously by Jefferson and Madison in response to the Alien and Sedition Acts
291. Doctrine of Nullification,"Expressed in the Virginia and Kentucky Resolutions
"292. Election of 1800, tie
293. Revolution of 1800,"Jeffersons election changed the direction of the government from Federalist to Democratic- Republican
294. Jeffersons Inaugural Address,Declared that he would avoid foreign alliances.
295. 12th Amendment,"Brought about by the Jefferson/Burr tie
296. Second Great Awakening,"A series of religious revivals starting in 1801
297. Gilbert Stuart (1755-1828),"American painter
298. Charles Wilson Peale (1741-1827),An American naturalist painter.
299. French Alliance of 1778,"France aided the U.S. in the American Revolution
300. French Revolution,"The second great democratic revolution
301. Citizen Genêt,"Edmond Charles Genêt. A French diplomat who came to the U.S. 1793 to ask the American government to send money and troops to aid the revolutionaries in the French Revolution. President Washington asked France to recall Genêt after Genêt began recruiting men and arming ships in U.S. ports. However
302. Neutrality Proclamation,"Washingtons declaration that the U.S. would not take sides after the French Revolution touched off a war between France and a coalition consisting primarily of England
"303. XYZ Affair, Talleyrand"
304. Undeclared naval war with France,"Late 1790s - Beginning in 1794
305. Convention of 1800,A conference between the U.S. and France which ended the naval hostilities.
306. British seizure of American ships,France blocked English ports during the Napoleonic Wars of the early 1800s; England responded by blocking French ports. The British seized neutral American merchant ships which tried to trade at French ports.
"307. ""Rule of 1756""",A British proclamation that said that neutral countries could not trade with both of two warring nations; they had to chose sides and only trade with one of the nations. This justified Britains seizure of neutral American ships during the war between Britain and France in the early 1800s.
308. Northwest posts,British fur-trading posts in the Northwest territory. Their presence in the U.S. led to continued British-American conflicts.
309. Jays Treaty,"1794 - It was signed in the hopes of settling the growing conflicts between the U.S. and Britain. It dealt with the Northwest posts and trade on the Mississippi River. It was unpopular with most Americans because it did not punish Britain for the attacks on neutral American ships. It was particularly unpopular with France
310. Washingtons Farewell Address,He warned against the dangers of political parties and foreign alliances.
311. Pickneys Treaty,1795 - Treaty between the U.S. and Spain which gave the U.S. the right to transport goods on the Mississippi river and to store goods in the Spanish port of New Orleans.
312. Spanish intrigue in the Southwest,"During the late 1700s/early 1800s Spain was exploring and settling the region which is now the Southwest U.S. The Spanish used the Indians of Florida and Georgia as spies and encouraged the tribes to raid U.S. settlements
313. James Wilkinson (1759-1825),"Wilkinson had been an officer in the Continental Army
"314. ""Mad"" Anthony Wayne, Battle of Fallen Timbers"
"315. Treaty of Greenville, 1795"
316. Barbary pirates,"The name given to several renegade countries on the Mediterranean coast of North Africa who demanded tribute in exchange for refraining from attacking ships in the Mediterranean. From 1795-1801
"317. Rutgers v. Waddington, 1784"
"318. Trevett v. Weeden, 1786-1787"
319. Bayard v. Singleton,1787 - First court decision in which a law was found unconstitutional based on a written constitution.
320. Supreme Court: Chisholm v. Georgia,"The heirs of Alexander Chisholm (a citizen of South Carolina) sued the state of Georgia. The Supreme Court upheld the right of citizens of one state to sue another state
"321. Supreme Court: Ware v. Hylton, 1796"
322. War of 1812 (1812-1814),"A war between the U.S. and Great Britain caused by American outrage over the impressment of American sailors by the British
323. Clays American System,"Proposed after the War of 1812
324. Was Jacksonianism an attack on privilege?,"To some extent
325. Bank war: its enemies and defenders,"During Jacksons presidency
326. Bank war: Veto message by Andrew Jackson,1832 - President Jackson vetoed the bill to recharter the national bank.
327. Bank war: laws from 1800 to 1865 on banking,These laws moved away from favoring the national bank towards favoring state banks.
328. Changes in federal land laws and policies,"The Land Acts of 1800 and 1820
329. Changes and improvements in transportation and its effect,"These included canals in the Great Lakes region
330. Revolution of 1800,"Jeffersons election changed the direction of the government from Federalist to Democratic- Republican
331. President Jefferson,"He believed in a less aristocratic presidency. He wanted to reduce federal spending and government interference in everyday life. He was a Democratic-Republican (originally an Anti- Federalist)
332. Vice-President Burr,"Aaron Burr was one of the leading Democratic-Republicans of New york
333. Sec. of Treasury Gallatin,"Albert Gallatin was a Swiss immigrant who was a financial genius and served as U.S. Secretary of the Treasury from 1801 - 1814 under Presidents Jefferson and Madison. He advocated free trade and opposed the Federalists economic policies. Gallatin was a member of the U.S. delegation that negotiated the Treaty of Ghent
"334. Jeffersons Inaugural Address, ""We are all Federalists
"335. Federalist control of courts and judges, midnight judges"
336. Justice Samuel Chase,"A Federalist judge appointed by Washington to the Supreme Court. Chase had been a Revolutionary War hero
337. Tripolitan War (1801-1805),"Also called the Barbary Wars
338. Treaty of Sam Ildefonso,"1800 - In this treaty
"339. Louisiana Purchase: reasons, Jefferson
340. Toussaint LOverture,"1803 - Led a slave rebellion which took control of Haiti
341. Federalist opposition to the Louisiana Purchase,Federalists opposed it because they felt Jefferson overstepped his Constitutional powers by making the purchase.
342. Hamilton-Burr duel,"After Burr lost to Jefferson as a Republican
"343. Burr expedition, treason trial"
344. Lewis and Clark expedition and its findings,"1804-1806 - Meriwether Lewis and William Clark were commissioned by Jefferson to map and explore the Louisiana Purchase region. Beginning at St. Louis
"345. Pike, Major Long
"346. Berlin Decree (1806), Milan Decree (1807)"
"347. Polly case, Essex case"
348. Orders-in-council,British laws which led to the War of 1812. Orders-in-council passed in 1807 permitted the impressment of sailors and forbade neutral ships from visiting ports from which Britain was excluded unless they first went to Britain and traded for British goods.
349. Impressment,"British seamen often deserted to join the American merchant marines. The British would board American vessels in order to retrieve the deserters
350. Chesapeake-Leopard Affair,"1807 - The American ship Chesapeake refused to allow the British on the Leopard to board to look for deserters. In response
"351. Embargo of 1807, opposition"
352. Non-Intercourse Act,"1809 - Replaced the Embargo of 1807. Unlike the Embargo
353. Erskine Agreement,"1809 - The U.S. offered to cease all trade with France and resume trade with Britain if the British would stop the impressment of American sailors. The British did not agree to this
354. Macons Bill No. 2,"1810 - Forbade trade with Britain and France
355. Tecumseh (1763-1813),"A Shawnee chief who
356. War Hawks,"Western settlers who advocated war with Britain because they hoped to aquire Britains northwest posts (and also Florida or even Canada) and because they felt the British were aiding the Indians and encouraging them to attack the Americans on the frontier. In Congress
357. Causes of the War of 1812,"These included: British impressment of sailors
358. Why war against Britain rather than against France?,"Britain practiced impressment and was believed to be supplying weapons to the Indians on the frontier and encouraging them to attack the U.S. Also
359. Federalist opposition to the War of 1812,"The Federalist party was mainly composed of New England merchants
360. Naval engagements in the War of 1812,The U.S. navy won some important battles on the Great Lakes but failed to break the British blockade of the U.S.
"361. Fort McHenry, Francis Scott Key
"362. Events of the War of 1812: Perry, Lake Erie
363. Jacksons victory at New Orleans,"January
"364. New Englands merchants, critics of the War of 1812
"365. Hartford Convention, resolution"
"366. Treaty negotiators: John Quincy Adams, Albert Gallatin
"367. Treaty of Ghent, provisions"
368. Neutral rights issues end with the defeat of Napoleon,"Napoleons defeat ended the war between Britain and France
369. War of 1812 increased nationalism and economic independence,The U.S.s success in the War of 1812 gave Americans a feeling of national pride. The War of 1812 had cut off Americas access to British manufactured goods and forced the U.S. to develop the means to produce those goods on its own.
"370. Second bank of the U.S., a reversal of Jeffersonian ideas"
371. Tariff of 1816 -- Protective,"This protective tariff helped American industry by raising the prices of British manufactured goods
372. Bonus Bill veto,"March
"373. Rush-Bagot Treaty, Great Lakes"
374. Convention of 1818,Set the border between the U.S. and Canada at the 49th parallel (or latitude). Also affirmed U.S. rights to fisheries along Newfoundland and Labrador.
375. Panic of 1819,"A natural post-war depression caused by overproduction and the reduced demand for goods after the war. However
"376. West Florida, 1810"
377. Jackson in Florida,"1817 - The Seminole Indians in Florida
378. Purchase of Florida,"1819 - Under the Adams-Onis Treaty
379. Transcontinental Treaty (Adams-Onis Treaty),Spain gave up Florida to the U.S. and the U.S./Mexico border was set so that Texas and the American Southwest would be part of Mexico.
"380. Quadruple Alliance, Holy Alliance"
